Episode,total_cost,wip_cost,fgi_cost,lateness_cost,overtime_cost,amount_of_shipped_orders,bottleneck_utilization,late_orders,early_orders,sum_of_lateness,sum_of_tardiness,average_flow_time
1,415128,34452,105620,186896,88160,65163,0.84,13324,51745,4437173,27999177,1078.2
2,388622,32310,108744,165392,82176,64592,0.84,12014,52515,3535223,28644283,1052.2
3,419659,35407,103052,192368,88832,65357,0.84,13642,51638,4499385,27429339,1087.83
4,394888,32772,108372,170480,83264,64664,0.83,12007,52591,3674978,28816130,1051.2
5,416753,34821,103148,188032,90752,64996,0.85,13144,51785,4094849,27397053,1079.35
6,410250,34390,104404,185152,86304,64864,0.84,13021,51790,4200762,28076004,1072.46
7,431190,36214,101936,201840,91200,65419,0.84,14310,51024,4932675,27240279,1100.92
8,421363,35043,104320,192400,89600,65476,0.85,13650,51741,4304438,27810992,1081.82
9,426306,35102,104148,197008,90048,65374,0.84,13989,51310,4642219,27698843,1087.52
10,414230,34654,103560,185712,90304,65083,0.84,12960,52042,4015004,27772771,1075.16
11,413837,34265,105092,185104,89376,64977,0.84,13217,51688,4247020,27950654,1076.05
12,426364,35256,103028,199184,88896,64863,0.84,13639,51147,4516245,27627026,1082.98
13,420795,34983,103700,191648,90464,64991,0.84,13973,50950,4812804,27422325,1092.82
14,415684,34656,104308,186832,89888,65118,0.84,13365,51697,4405348,27632595,1081.02
15,399954,33754,105848,176544,83808,64912,0.84,12545,52298,3979465,28330472,1066.24
16,416271,34839,103928,187584,89920,65259,0.85,13432,51743,4308391,27534411,1083.57
17,409045,34097,105300,183152,86496,65133,0.84,13389,51684,4278366,27850459,1078.44
18,402803,33851,105240,176640,87072,65114,0.84,12896,52169,4021362,27856929,1074.13
19,406040,34024,105296,180448,86272,64950,0.84,12723,52153,3958318,27974389,1071.81
20,424703,35371,102100,194688,92544,65080,0.84,13486,51517,4170403,27355280,1083.75
21,407538,34618,103080,182736,87104,64898,0.84,12965,51851,4183341,27683111,1080.2
22,425145,36017,101832,196352,90944,65192,0.85,13587,51522,4598137,27319562,1092.38
23,417086,34582,104248,189040,89216,65025,0.85,13291,51666,4258350,27720461,1079.28
24,430641,35785,101976,201520,91360,65357,0.84,14224,51068,4516937,27188842,1092.4
25,420297,34693,104772,190560,90272,65455,0.84,13678,51698,4102884,27481996,1082.73
26,402683,33959,106564,176848,85312,65248,0.84,12417,52744,3873260,28317342,1066.03
27,412808,34576,104664,186784,86784,64997,0.84,13242,51689,4486400,27906385,1080.88
28,409639,34151,105408,180448,89632,65100,0.84,12919,52100,4025670,27939645,1073.98
29,413182,34150,105704,186768,86560,64889,0.84,13045,51783,4129948,28168752,1068.1
30,409396,34632,103324,182416,89024,65122,0.85,13108,51948,4036241,27519809,1081.15
