Episode,total_cost,wip_cost,fgi_cost,lateness_cost,overtime_cost,amount_of_shipped_orders,bottleneck_utilization,late_orders,early_orders,sum_of_lateness,sum_of_tardiness,average_flow_time
1,684925,18813,156944,61168,448000,65120,0.62,4456,60628,1214188,41855234,817.23
2,684154,18918,155844,61392,448000,64908,0.62,4455,60429,1259285,41614730,817.55
3,690482,19782,154060,68640,448000,65284,0.62,4808,60452,1270287,41385357,826.3
4,684204,18676,156248,61280,448000,64818,0.62,4416,60370,1213487,41691302,814.95
5,686944,19564,155412,63968,448000,65312,0.63,4397,60875,1197581,41750229,819.25
6,693779,19471,156068,70240,448000,65297,0.63,4832,60431,1423153,41670622,823.74
7,686557,19041,155500,64016,448000,64912,0.63,4451,60439,1247911,41682163,817.9
8,694729,20217,154064,72448,448000,65629,0.63,4906,60683,1360943,41433448,830.23
9,689837,19185,155964,66688,448000,65049,0.62,4583,60444,1269795,41680032,818.63
10,684500,18836,156256,61408,448000,64799,0.62,4258,60508,1186202,42004051,812.01
11,690031,19619,154876,67536,448000,65068,0.62,4777,60253,1457938,41423731,825.1
12,681859,18651,156984,58224,448000,64966,0.62,4127,60818,1192296,42139524,810.28
13,679722,18182,157332,56208,448000,64554,0.62,4094,60440,1183280,41916725,809.61
14,689205,19133,157016,65056,448000,65292,0.63,4633,60621,1359619,41918151,819.35
15,688533,18893,155896,65744,448000,64780,0.62,4645,60092,1297301,41732138,815.8
16,688138,19130,155168,65840,448000,64959,0.62,4660,60272,1312045,41545626,821.95
17,679618,18306,157360,55952,448000,64942,0.63,4192,60710,1174104,42077214,811.71
18,688030,18778,155508,65744,448000,64510,0.62,4534,59944,1321606,41589306,815.0
19,684638,19354,155012,62272,448000,65144,0.62,4329,60784,1076998,41813407,816.73
20,696891,20287,152956,75648,448000,65345,0.63,5209,60108,1507956,41008557,833.61
21,689215,19767,153640,67808,448000,65172,0.63,4950,60196,1454880,41018842,832.84
22,687323,19139,155224,64960,448000,64907,0.62,4677,60193,1432282,41462875,823.05
23,684602,18698,156496,61408,448000,64800,0.62,4355,60423,1221288,41803003,815.07
24,697076,20428,154040,74608,448000,65687,0.63,5238,60417,1533044,41190426,835.92
25,687800,19200,155480,65120,448000,64916,0.62,4454,60434,1234071,41632233,816.85
26,686480,18784,157376,62320,448000,65145,0.62,4401,60711,1280843,42134952,814.26
27,679871,18267,157364,56240,448000,64759,0.62,4191,60538,1107049,42035643,808.73
28,687392,19316,155324,64752,448000,65015,0.62,4823,60160,1421509,41459326,826.04
29,684664,18828,156284,61552,448000,64846,0.62,4253,60573,1158846,42098088,810.29
30,685146,19126,155540,62480,448000,65033,0.63,4386,60617,1136796,41651087,817.58
