Episode,total_cost,wip_cost,fgi_cost,lateness_cost,overtime_cost,amount_of_shipped_orders,bottleneck_utilization,late_orders,early_orders,sum_of_lateness,sum_of_tardiness,average_flow_time
1,549507,33947,64824,365296,85440,64975,0.85,26147,38727,9876038,17887236,1073.39
2,536023,32579,66740,354112,82592,64953,0.84,25551,39314,9093171,18432884,1060.59
3,543409,33093,66508,360320,83488,65014,0.84,25726,39171,9428432,18510457,1061.22
4,578018,35306,63096,385856,93760,65465,0.85,27325,38036,10286398,17544904,1089.2
5,557722,34410,63936,370896,88480,65137,0.84,26282,38763,9928262,17886481,1076.02
6,538107,32707,66376,355632,83392,64673,0.84,25314,39264,9037105,18402882,1056.64
7,579450,35482,62720,390240,91008,65192,0.84,27762,37355,10929708,17286568,1096.08
8,555799,33895,63952,371936,86016,65152,0.84,26674,38383,9638247,17636970,1074.81
9,574491,35191,62436,384576,92288,65259,0.84,27359,37797,10472967,17497249,1090.32
10,566221,34365,63728,380768,87360,65339,0.84,27217,38026,9967080,17730099,1082.39
11,565450,34438,64100,376544,90368,65266,0.85,26694,38492,9751060,17856844,1078.23
12,553814,33522,65300,368368,86624,64641,0.84,26197,38364,9781525,18121885,1071.22
13,547738,33310,65948,363776,84704,64840,0.84,26452,38287,10070908,17886794,1076.36
14,557232,34320,64192,371392,87328,65283,0.84,26857,38342,10097688,17657640,1085.15
15,558803,34131,64928,371584,88160,64818,0.84,26415,38306,10200637,18082758,1078.92
16,550034,33450,64488,365376,86720,64897,0.84,25991,38801,9357554,17992769,1067.3
17,547552,33136,65280,364112,85024,65003,0.83,26225,38670,9512016,18170101,1064.02
18,558239,33731,64700,370784,89024,65017,0.84,26375,38554,9464905,18014456,1071.76
19,562164,34260,64112,374928,88864,65288,0.85,26873,38315,10159563,17681553,1082.68
20,564851,34511,63956,379504,86880,64990,0.84,26764,38142,9840935,17889375,1076.03
21,556816,33948,65108,370720,87040,64697,0.83,26234,38364,9855493,18073923,1071.54
22,549108,32892,66600,362288,87328,64913,0.84,26226,38603,9538659,18203117,1066.69
23,546746,33106,65160,362048,86432,64218,0.84,25663,38458,9507021,18101574,1064.91
24,570816,35060,62652,384592,88512,65426,0.85,27013,38302,10043042,17673909,1081.78
25,560395,34011,64640,374992,86752,65128,0.84,26631,38412,9777018,17871029,1073.74
26,578100,35308,63000,387504,92288,65652,0.85,27665,37893,10585336,17658755,1091.36
27,562073,34277,64884,375232,87680,65222,0.84,26558,38575,10079838,18191215,1077.26
28,564386,34050,64352,375840,90144,65140,0.84,26540,38529,9573145,18011238,1069.74
29,539753,32921,65744,355584,85504,64700,0.84,25507,39092,9397193,18350394,1062.11
30,558740,34296,64540,372832,87072,65234,0.85,26824,38313,10106279,17651330,1082.1
