Episode,total_cost,wip_cost,fgi_cost,lateness_cost,overtime_cost,amount_of_shipped_orders,bottleneck_utilization,late_orders,early_orders,sum_of_lateness,sum_of_tardiness,average_flow_time
1,769606,96554,31100,641952,0,64636,0.93,46227,18357,70510655,8448552,2156.98
2,774246,100654,31384,642208,0,65207,0.93,46162,19002,74401055,8534523,2210.54
3,763134,90222,30528,642384,0,64714,0.93,45772,18883,61348145,8526848,2016.87
4,833264,120608,26064,686592,0,65241,0.94,48735,16454,87369840,7360279,2423.64
5,765541,101337,32204,632000,0,64940,0.93,45562,19322,76317219,8763345,2241.35
6,785951,96203,29300,660448,0,64906,0.93,47175,17694,71601694,8114775,2178.55
7,804367,102499,26940,674928,0,65105,0.94,49039,16015,78935414,7146511,2303.96
8,766397,90097,30732,645568,0,65282,0.93,46248,18967,63351987,8434943,2039.38
9,819854,116898,27100,675856,0,65026,0.93,48452,16538,91480535,7488552,2489.11
10,806880,104008,26968,675904,0,64979,0.94,48166,16772,74352871,7506305,2228.97
11,812381,113289,27732,671360,0,65303,0.94,48750,16500,87295357,7343038,2424.13
12,746001,90041,33688,622272,0,64815,0.92,44492,20263,61071496,9397566,1995.18
13,782368,94684,28964,658720,0,65032,0.93,47708,17281,70386809,7719260,2164.38
14,809522,103910,27788,677824,0,65338,0.94,48763,16540,78004542,7496927,2274.17
15,836514,118778,24936,692800,0,65319,0.94,48989,16270,88204145,7132847,2438.67
16,818792,118516,27956,672320,0,65008,0.94,48157,16795,91232972,7642128,2486.0
17,740316,84860,34144,621312,0,64919,0.92,44438,20425,56564267,9307969,1926.58
18,842404,116500,24448,701456,0,65421,0.94,49828,15556,89421296,6905616,2462.04
19,745673,87585,33896,624192,0,64790,0.92,43930,20799,58652511,9660005,1954.6
20,783624,102852,30900,649872,0,65022,0.93,46263,18714,73881181,8631637,2203.74
21,809816,104200,26688,678928,0,64922,0.94,48162,16717,73351075,7527815,2211.52
22,824638,117066,26916,680656,0,65233,0.94,49200,15989,90720489,7231543,2476.78
23,735868,81824,32396,621648,0,64356,0.92,44569,19723,57913476,8928426,1962.42
24,784684,102248,30644,651792,0,65238,0.93,45993,19198,70616432,8656583,2146.02
25,762771,89931,30984,641856,0,65098,0.93,45778,19264,64081067,8572488,2054.96
26,792361,96429,28380,667552,0,65389,0.94,48795,16550,77488014,7422064,2269.08
27,764729,90013,31868,642848,0,65087,0.93,46278,18759,71157381,8596382,2162.33
28,783647,100975,29904,652768,0,65002,0.93,46202,18747,69757133,8450058,2142.59
29,758866,89986,32736,636144,0,64897,0.93,45748,19096,67612847,8915815,2102.72
30,802710,104002,28836,669872,0,65164,0.93,48003,17114,76107677,7954095,2245.72
