Episode,total_cost,wip_cost,fgi_cost,lateness_cost,overtime_cost,amount_of_shipped_orders,bottleneck_utilization,late_orders,early_orders,sum_of_lateness,sum_of_tardiness,average_flow_time
1,640831,33947,64824,456620,85440,64975,0.85,26147,38727,9876038,17887236,1073.39
2,624551,32579,66740,442640,82592,64953,0.84,25551,39314,9093171,18432884,1060.59
3,633489,33093,66508,450400,83488,65014,0.84,25726,39171,9428432,18510457,1061.22
4,674482,35306,63096,482320,93760,65465,0.85,27325,38036,10286398,17544904,1089.2
5,650446,34410,63936,463620,88480,65137,0.84,26282,38763,9928262,17886481,1076.02
6,627015,32707,66376,444540,83392,64673,0.84,25314,39264,9037105,18402882,1056.64
7,677010,35482,62720,487800,91008,65192,0.84,27762,37355,10929708,17286568,1096.08
8,648783,33895,63952,464920,86016,65152,0.84,26674,38383,9638247,17636970,1074.81
9,670635,35191,62436,480720,92288,65259,0.84,27359,37797,10472967,17497249,1090.32
10,661413,34365,63728,475960,87360,65339,0.84,27217,38026,9967080,17730099,1082.39
11,659586,34438,64100,470680,90368,65266,0.85,26694,38492,9751060,17856844,1078.23
12,645906,33522,65300,460460,86624,64641,0.84,26197,38364,9781525,18121885,1071.22
13,638682,33310,65948,454720,84704,64840,0.84,26452,38287,10070908,17886794,1076.36
14,650080,34320,64192,464240,87328,65283,0.84,26857,38342,10097688,17657640,1085.15
15,651699,34131,64928,464480,88160,64818,0.84,26415,38306,10200637,18082758,1078.92
16,641378,33450,64488,456720,86720,64897,0.84,25991,38801,9357554,17992769,1067.3
17,638580,33136,65280,455140,85024,65003,0.83,26225,38670,9512016,18170101,1064.02
18,650935,33731,64700,463480,89024,65017,0.84,26375,38554,9464905,18014456,1071.76
19,655896,34260,64112,468660,88864,65288,0.85,26873,38315,10159563,17681553,1082.68
20,659727,34511,63956,474380,86880,64990,0.84,26764,38142,9840935,17889375,1076.03
21,649496,33948,65108,463400,87040,64697,0.83,26234,38364,9855493,18073923,1071.54
22,639680,32892,66600,452860,87328,64913,0.84,26226,38603,9538659,18203117,1066.69
23,637258,33106,65160,452560,86432,64218,0.84,25663,38458,9507021,18101574,1064.91
24,666964,35060,62652,480740,88512,65426,0.85,27013,38302,10043042,17673909,1081.78
25,654143,34011,64640,468740,86752,65128,0.84,26631,38412,9777018,17871029,1073.74
26,674976,35308,63000,484380,92288,65652,0.85,27665,37893,10585336,17658755,1091.36
27,655881,34277,64884,469040,87680,65222,0.84,26558,38575,10079838,18191215,1077.26
28,658346,34050,64352,469800,90144,65140,0.84,26540,38529,9573145,18011238,1069.74
29,628649,32921,65744,444480,85504,64700,0.84,25507,39092,9397193,18350394,1062.11
30,651948,34296,64540,466040,87072,65234,0.85,26824,38313,10106279,17651330,1082.1
