Episode,total_cost,wip_cost,fgi_cost,lateness_cost,overtime_cost,amount_of_shipped_orders,bottleneck_utilization,late_orders,early_orders,sum_of_lateness,sum_of_tardiness,average_flow_time
1,438879,34395,106164,210000,88320,65273,0.85,14946,50259,5724563,28724745,1088.75
2,416877,32513,109420,192960,81984,64737,0.84,14014,50650,5242828,29315132,1069.19
3,421022,33178,108068,196736,83040,65005,0.84,13981,50960,5155078,29366509,1068.23
4,423544,33464,108272,195984,85824,65317,0.85,13983,51276,5087409,29263045,1072.08
5,437700,33944,107564,208352,87840,65640,0.84,14980,50599,5340914,28808124,1081.75
6,435816,34052,107556,206816,87392,65331,0.85,14829,50430,5688045,29003499,1085.02
7,438994,34706,106464,208928,88896,65119,0.84,14686,50359,5925628,28807962,1088.49
8,439745,34093,106772,209536,89344,65318,0.84,14774,50493,5436974,28887042,1080.99
9,430843,33331,108840,201952,86720,64862,0.84,14341,50470,5649663,29262490,1075.52
10,424857,33009,108072,198624,85152,64686,0.84,14356,50275,5446011,29096764,1076.1
11,423723,32903,108596,196144,86080,64908,0.84,14204,50638,5445254,29034840,1075.68
12,435013,33885,108280,205712,87136,65195,0.84,14714,50420,5880268,29112844,1084.34
13,436869,34317,105288,208976,88288,64942,0.84,14643,50240,5395718,28482690,1083.47
14,434476,33732,108312,208272,84160,64858,0.84,14582,50208,5648901,29185300,1077.96
15,430170,33506,107896,201984,86784,64739,0.84,14218,50459,5439454,29179933,1074.21
16,427938,33330,107440,202016,85152,65019,0.84,14722,50237,5572102,28813413,1082.1
17,435953,33917,107956,206976,87104,65179,0.84,14546,50582,5563832,29003050,1080.53
18,429628,33128,107732,200384,88384,64890,0.85,14303,50530,5152320,29050532,1073.22
19,440129,34453,106508,210816,88352,65195,0.85,14878,50255,5680015,28847532,1084.38
20,424045,33029,108424,196352,86240,64801,0.84,13944,50798,5256793,29330321,1068.9
21,428132,33332,108480,201104,85216,64881,0.84,14013,50803,5222806,29321100,1069.47
22,432411,33347,108232,203728,87104,64893,0.84,14277,50546,5338470,29220340,1071.88
23,424320,33276,107588,197536,85920,64771,0.84,14114,50589,5237892,28943779,1073.25
24,437766,34298,107100,210960,85408,65351,0.85,15238,50057,5980535,28881285,1089.79
25,419191,32619,110908,192688,82976,65286,0.84,14002,51219,5165496,29400926,1069.36
26,406025,31189,113284,179280,82272,64923,0.84,13086,51768,4572246,30188734,1047.0
27,441871,34435,106364,211216,89856,65067,0.84,14764,50243,5827209,28999445,1085.01
28,429908,33524,107200,204128,85056,64997,0.84,14463,50455,5400016,28930656,1077.61
29,427043,33451,107848,199536,86208,64943,0.84,14167,50712,5331406,29146487,1075.35
30,424236,33228,107968,198560,84480,64849,0.84,13910,50884,5089114,29253059,1067.51
