Episode,total_cost,wip_cost,fgi_cost,lateness_cost,overtime_cost,amount_of_shipped_orders,bottleneck_utilization,late_orders,early_orders,sum_of_lateness,sum_of_tardiness,average_flow_time
1,438134,41462,295552,38848,62272,65215,0.87,2740,62464,1144400,79199526,1204.03
2,435968,40528,297952,36912,60576,65489,0.87,2739,62728,983005,79766909,1196.32
3,435798,41310,295592,35344,63552,65396,0.87,2587,62792,1147289,79400730,1204.02
4,431111,40371,295348,34352,61040,64748,0.87,2511,62230,1024762,78802391,1198.49
5,446243,44311,288444,46432,67056,65691,0.88,3132,62543,1356540,77752680,1238.26
6,437024,41968,291952,39072,64032,65162,0.87,2766,62385,1070517,78493319,1212.99
7,430181,40457,297052,31424,61248,65114,0.87,2237,62862,868475,79614297,1191.99
8,430524,40148,298056,32640,59680,65167,0.87,2592,62558,1078444,78823460,1207.79
9,425200,39324,299124,27872,58880,64788,0.86,1885,62892,651058,80287787,1171.96
10,437169,42093,291652,40480,62944,65402,0.87,2888,62502,1179299,78191131,1222.83
11,441760,42028,292116,42784,64832,65114,0.87,2882,62220,1315505,78256613,1217.61
12,432755,41347,297136,31984,62288,65722,0.87,2297,63412,788059,79576182,1201.38
13,428580,40948,296128,30448,61056,65241,0.87,2129,63103,930437,79696942,1194.11
14,428341,39673,297692,30032,60944,64881,0.87,2038,62830,692979,80268370,1177.37
15,436837,41537,295092,35248,64960,65357,0.87,2520,62820,955793,79004194,1207.02
16,427534,39906,297196,31552,58880,64964,0.87,2274,62680,842347,79666401,1187.75
17,434149,40629,297792,34672,61056,65167,0.87,2415,62743,974923,79886841,1189.62
18,427783,39835,297820,29600,60528,65009,0.86,2263,62733,838680,79980965,1183.18
19,430695,40599,297104,33744,59248,65262,0.87,2363,62890,903033,79542162,1197.09
20,433230,41106,293436,37312,61376,64889,0.86,2714,62168,1089652,78668950,1203.43
21,439311,42591,291328,42048,63344,65190,0.87,2888,62284,1295747,78192550,1220.42
22,432198,40578,295508,35792,60320,64873,0.87,2456,62404,1016598,79468775,1189.11
23,428985,39277,299164,31488,59056,64723,0.86,2118,62594,792079,79963748,1176.67
24,439591,42659,289924,41808,65200,65092,0.87,2781,62301,1119905,78417755,1213.33
25,436318,41638,294088,36240,64352,65177,0.87,2471,62689,896230,79178796,1201.29
26,425480,38840,302288,26016,58336,65052,0.87,2037,63004,848045,81138824,1164.58
27,431720,40292,296260,33792,61376,65067,0.87,2596,62459,1006186,79140431,1199.54
28,428534,40210,298708,29136,60480,65321,0.87,2192,63119,841226,80251491,1184.92
29,435368,40640,295960,36688,62080,65035,0.87,2559,62458,921888,79499921,1192.35
30,433402,40390,295956,36400,60656,64860,0.87,2605,62244,1064999,79169255,1197.01
