Episode,total_cost,wip_cost,fgi_cost,lateness_cost,overtime_cost,amount_of_shipped_orders,bottleneck_utilization,late_orders,early_orders,sum_of_lateness,sum_of_tardiness,average_flow_time
1,512930,41134,298724,61072,112000,65078,0.83,4164,60900,2325198,80356628,1200.79
2,503200,39276,302900,49024,112000,64930,0.83,3668,61250,2125767,80911223,1188.76
3,511539,40859,302872,55808,112000,65284,0.83,3848,61428,2537956,81352334,1192.18
4,506864,40736,297536,56592,112000,64752,0.83,3925,60815,1934588,79661557,1200.38
5,509970,42054,298268,57648,112000,65331,0.84,4060,61255,2547598,80252147,1211.13
6,509062,39754,304156,53152,112000,65182,0.83,3851,61320,1966719,81253374,1186.44
7,504333,37877,308760,45696,112000,65040,0.83,3324,61703,1722732,82393209,1160.11
8,504531,38527,307220,46784,112000,65108,0.83,3398,61696,1674870,81981373,1166.64
9,501840,37400,308392,44048,112000,64800,0.82,3461,61331,1711191,82225442,1157.7
10,513070,41330,296604,63136,112000,64687,0.83,4420,60246,2635965,79818570,1206.91
11,506579,40319,302004,52256,112000,65035,0.83,3774,61247,2055162,80500293,1195.67
12,514722,43782,293292,65648,112000,65817,0.84,4759,61048,2594340,78580208,1246.67
13,511939,40495,301076,58368,112000,64748,0.83,3937,60800,2695051,80929633,1190.58
14,501951,39799,303000,47152,112000,65164,0.83,3350,61795,1727096,81184253,1182.6
15,521253,42829,295592,70832,112000,64932,0.83,4806,60111,3153517,79504787,1226.56
16,509841,41233,295088,61520,112000,64467,0.83,4142,60314,2473127,79488986,1206.6
17,507856,38816,306688,50352,112000,65259,0.83,4098,61149,2430775,81138300,1194.42
18,514748,41780,298488,62480,112000,65137,0.83,4181,60934,2342901,80363770,1204.58
19,504427,38507,304512,49408,112000,64816,0.83,3740,61068,1942167,81266479,1176.54
20,507719,40295,299776,55648,112000,64909,0.83,3996,60897,2067578,80442636,1192.48
21,501556,39224,302540,47792,112000,65016,0.84,3790,61207,1820363,80263257,1194.47
22,515746,43230,294500,66016,112000,65110,0.84,4760,60337,3233141,78618802,1242.41
23,511423,40203,301892,57328,112000,64887,0.83,3907,60964,2383731,81045549,1187.09
24,517185,42429,297668,65088,112000,65236,0.83,4479,60746,2753387,80080740,1214.47
25,512768,42340,296748,61680,112000,65344,0.84,4257,61074,2266119,79850848,1213.01
26,517152,42552,295400,67200,112000,65101,0.84,4474,60614,2629309,79331673,1221.74
27,512598,42082,296660,61856,112000,65193,0.83,4001,61172,2172053,80230220,1201.81
28,521556,43124,297024,69408,112000,65288,0.83,4790,60483,3323969,79348007,1235.17
29,512022,39714,302004,58304,112000,64703,0.83,4114,60574,2124827,80682165,1185.36
30,517887,42471,297160,66256,112000,65187,0.83,4557,60614,2899113,79788054,1222.5
