Episode,total_cost,wip_cost,fgi_cost,lateness_cost,overtime_cost,amount_of_shipped_orders,bottleneck_utilization,late_orders,early_orders,sum_of_lateness,sum_of_tardiness,average_flow_time
1,465894,40018,93620,271120,61136,64916,0.86,19227,45627,8857270,25542568,1183.58
2,460265,39657,93040,267360,60208,65264,0.87,19192,46012,8414394,25338739,1179.36
3,471142,40622,94024,275728,60768,65344,0.87,19460,45803,9028919,25466117,1186.85
4,470016,40160,93392,275040,61424,65023,0.87,19712,45233,8973660,25234024,1190.25
5,472153,40333,93340,276784,61696,65110,0.87,19553,45473,9266431,25398031,1192.2
6,472353,41109,93340,275920,61984,65261,0.87,19833,45356,9946710,25372928,1203.91
7,486159,41531,91908,289376,63344,65104,0.87,20997,44053,10578353,24677418,1223.89
8,463279,39919,95088,268656,59616,65126,0.87,18998,46051,8892475,25723063,1181.36
9,466411,40235,91728,273360,61088,64991,0.87,19568,45361,8784492,25165172,1188.45
10,493970,43082,88920,296512,65456,65504,0.88,21625,43811,11317269,24179169,1244.78
11,472635,40719,91836,277712,62368,64682,0.86,19706,44898,9399364,25202080,1197.06
12,460174,39318,94360,265872,60624,65000,0.87,18945,45995,8478486,25631425,1176.08
13,478762,41534,91612,283680,61936,65187,0.87,20003,45121,9713232,25081888,1205.58
14,476106,40734,93884,280752,60736,64894,0.86,19903,44916,9871955,25404360,1198.7
15,462645,39481,95564,267648,59952,65199,0.86,19692,45428,9264788,25492620,1191.05
16,464339,40419,92704,269424,61792,64941,0.87,19547,45335,9653783,25302389,1203.01
17,478660,41888,90164,282832,63776,65025,0.87,19813,45144,9687615,24986852,1203.71
18,447926,38190,96808,255824,57104,64786,0.86,18264,46460,7961337,26073264,1158.18
19,451352,38604,98348,256080,58320,64630,0.86,18270,46307,9038876,26488565,1169.13
20,461696,39508,93996,267792,60400,64552,0.87,18857,45624,8642229,25535073,1177.05
21,485871,42227,91180,287200,65264,64948,0.87,20273,44601,10490864,24984775,1215.94
22,468311,40847,91944,274320,61200,65124,0.87,19734,45326,9361803,25013690,1198.57
23,460165,39493,96112,265424,59136,64830,0.86,18672,46094,8819388,26082842,1172.22
24,470627,40131,94048,275696,60752,64877,0.87,19684,45124,9318040,25313642,1193.22
25,480640,41540,92060,283168,63872,65645,0.87,20037,45528,9452888,25302418,1199.43
26,462147,39703,95596,267184,59664,65227,0.87,19056,46102,8917861,26005080,1179.26
27,470344,41640,92416,274320,61968,65210,0.87,19403,45730,9788585,25671465,1198.52
28,464848,39728,94288,270128,60704,64934,0.86,19155,45723,9004910,25838407,1182.69
29,467634,40166,94748,271568,61152,65031,0.87,19353,45611,9372989,25596184,1191.91
30,488741,42385,90628,290688,65040,65152,0.87,20538,44544,10384082,24765566,1218.6
