Episode,total_cost,wip_cost,fgi_cost,lateness_cost,overtime_cost,amount_of_shipped_orders,bottleneck_utilization,late_orders,early_orders,sum_of_lateness,sum_of_tardiness,average_flow_time
1,510260,38904,104956,254400,112000,65000,0.83,18116,46827,10559971,28051359,1170.53
2,547553,43765,99804,291984,112000,65345,0.84,20882,44404,14082290,26530662,1248.91
3,554420,44520,97900,300000,112000,65493,0.84,21368,44072,14667346,26121352,1265.58
4,521941,40273,101988,267680,112000,64868,0.83,19150,45661,11510026,27331119,1198.81
5,517379,39851,104216,261312,112000,65145,0.83,18251,46835,10772029,27823334,1177.63
6,515243,39543,103204,260496,112000,65127,0.83,18460,46610,10837935,27670504,1182.26
7,519005,39989,104424,262592,112000,65030,0.83,18989,46001,13368687,27655158,1221.26
8,526116,40936,102908,270272,112000,64791,0.83,18661,46077,11654091,27705592,1191.3
9,515359,40055,105224,258080,112000,65100,0.83,18443,46607,11602505,28035712,1188.57
10,519236,39760,103828,263648,112000,64858,0.83,18941,45866,11761207,27538019,1195.95
11,521729,40117,103948,265664,112000,64679,0.83,19131,45492,11714047,27504981,1195.69
12,524681,41281,99752,271648,112000,65180,0.83,19297,45824,11571049,27143728,1203.39
13,525210,41202,101032,270976,112000,64844,0.83,19291,45501,12125759,27049772,1210.56
14,533202,41750,100508,278944,112000,65559,0.84,20080,45424,12087963,26547858,1220.3
15,498936,36936,106544,243456,112000,64565,0.82,17762,46740,9992998,28066458,1159.84
16,513423,38955,105220,257248,112000,64658,0.82,18089,46518,10511735,27979839,1168.52
17,524340,40828,103032,268480,112000,65139,0.83,19201,45891,12214308,27478497,1205.93
18,535689,42425,99600,281664,112000,65138,0.83,19876,45222,13067312,26905149,1227.58
19,518568,39068,104220,263280,112000,65024,0.83,19145,45831,11518630,27464043,1194.01
20,524931,40471,101388,271072,112000,64956,0.84,19408,45496,11605884,27014819,1204.36
21,526477,40709,102728,271040,112000,64933,0.83,19115,45764,11665546,27584951,1195.53
22,520162,40162,104496,263504,112000,65088,0.83,19274,45762,12510677,27498443,1209.92
23,537909,42077,99752,284080,112000,65269,0.84,20469,44746,13132803,26509650,1234.9
24,526813,41581,103200,270032,112000,65230,0.84,18823,46357,12034321,27698934,1201.04
25,517339,40323,105928,259088,112000,65149,0.83,18081,47023,11571685,28315958,1183.49
26,504149,37393,107892,246864,112000,65131,0.83,17879,47201,9946333,28562737,1154.75
27,509012,38632,106108,252272,112000,64701,0.82,18738,45911,11759694,27837455,1192.31
28,532176,42076,100372,277728,112000,65267,0.83,19550,45642,12123818,27106388,1209.53
29,504930,37742,106532,248656,112000,64812,0.82,17595,47175,9599416,28522249,1149.61
30,529606,41382,103232,272992,112000,65356,0.83,19494,45809,12434782,27491817,1210.21
