Episode,total_cost,wip_cost,fgi_cost,lateness_cost,overtime_cost,amount_of_shipped_orders,bottleneck_utilization,late_orders,early_orders,sum_of_lateness,sum_of_tardiness,average_flow_time
1,535843,27107,132240,152496,224000,65329,0.75,11298,53990,4840071,34256818,988.17
2,535200,26832,133360,151008,224000,65130,0.75,10739,54335,4470945,34878588,973.87
3,533973,26949,132816,150208,224000,65142,0.75,10430,54667,4193769,35156551,965.88
4,535810,26926,132084,152800,224000,64979,0.75,10901,54039,4702868,34800321,976.48
5,554950,28746,129436,172768,224000,65141,0.75,11954,53126,5490920,34236242,997.9
6,535985,27173,132812,152000,224000,65024,0.75,10670,54313,4639177,34908668,974.62
7,530999,26059,134684,146256,224000,64959,0.75,10609,54303,4352821,34958170,968.03
8,533334,26774,133360,149200,224000,65434,0.75,10696,54699,4260883,34920158,970.65
9,526468,25476,134992,142000,224000,64480,0.74,10289,54148,4182551,35173327,959.02
10,536236,26860,132480,152896,224000,65052,0.75,10771,54241,4325301,34940029,969.75
11,530672,26168,136024,144480,224000,65086,0.75,10429,54618,4590563,35247261,969.62
12,535497,26337,134152,151008,224000,64919,0.75,10651,54213,4332379,35097036,966.77
13,538565,27197,132072,155296,224000,64864,0.75,11030,53790,4740902,34637147,980.42
14,533550,26734,135072,147744,224000,65133,0.74,10278,54808,4543787,35471802,966.53
15,528599,25587,135108,143904,224000,64547,0.74,10215,54271,4107006,35407452,955.03
16,523737,25333,136116,138288,224000,64999,0.75,10108,54851,4030875,35446964,958.27
17,533125,26297,133868,148960,224000,65063,0.75,10918,54082,4512523,34940447,971.81
18,531882,26294,133732,147856,224000,64989,0.75,10849,54088,4428853,34850735,973.11
19,548578,28394,130984,165200,224000,65460,0.75,11807,53614,5277834,34254488,996.91
20,537776,27208,131592,154976,224000,65207,0.75,11229,53930,4698155,34348205,984.22
21,531642,26918,131636,149088,224000,64961,0.75,10323,54583,4030312,34855313,965.13
22,536087,26491,134092,151504,224000,65055,0.75,10858,54148,4657254,34812230,974.99
23,539475,27187,131552,156736,224000,65033,0.75,11157,53834,4498326,34622053,977.25
24,531626,26386,133112,148128,224000,64854,0.75,10403,54407,4136446,35024426,964.83
25,526179,26067,136592,139520,224000,65104,0.75,10068,54989,4257409,35444541,961.25
26,530625,25889,136208,144528,224000,65323,0.75,10227,55030,3909422,35590927,955.56
27,551135,29247,128208,169680,224000,65500,0.75,11933,53526,5370753,34030326,1002.68
28,521885,25201,134764,137920,224000,64483,0.74,10190,54257,4048064,35035729,959.79
29,546519,27951,131096,163472,224000,65190,0.75,11272,53869,4740951,34591353,983.15
30,542669,27605,131752,159312,224000,65204,0.75,11313,53835,4867805,34691278,985.29
