Episode,total_cost,wip_cost,fgi_cost,lateness_cost,overtime_cost,amount_of_shipped_orders,bottleneck_utilization,late_orders,early_orders,sum_of_lateness,sum_of_tardiness,average_flow_time
1,706115,17331,162272,78512,448000,64968,0.62,5618,59316,1684647,41758507,822.97
2,703558,17678,160760,77120,448000,65026,0.62,5624,59369,1797799,41606509,827.88
3,707188,18076,159208,81904,448000,64687,0.62,5694,58954,1920072,41477648,830.18
4,701320,17232,162056,74032,448000,64856,0.63,5328,59493,1666402,41861228,818.98
5,716760,18776,159936,90048,448000,65486,0.63,6308,59145,2094106,41421853,839.46
6,711595,18559,159884,85152,448000,65547,0.63,6145,59373,2092957,41436562,840.77
7,705859,17459,161520,78880,448000,64846,0.62,5584,59232,1798431,41849037,822.98
8,703906,17686,160508,77712,448000,64865,0.62,5419,59411,1642269,41834455,821.14
9,704337,17565,159908,78864,448000,64504,0.62,5547,58922,1772472,41610466,823.52
10,705764,17636,161184,78944,448000,65091,0.62,5737,59328,1827873,41535926,829.49
11,714616,18880,158264,89472,448000,65318,0.63,6416,58877,2124337,40823349,847.84
12,699348,16848,162452,72048,448000,64639,0.62,5114,59497,1604542,42105692,812.96
13,699107,16923,161912,72272,448000,64618,0.62,5441,59145,1749396,41630091,823.16
14,706594,18118,158668,81808,448000,64595,0.62,5782,58768,1870559,41187686,831.05
15,706069,17673,160380,80016,448000,64908,0.62,5783,59097,1756206,41375320,829.65
16,706408,17708,161116,79584,448000,65167,0.62,5740,59393,1812221,41604661,829.88
17,704867,17575,160524,78768,448000,64754,0.62,5530,59193,1733936,41712423,824.25
18,708311,18455,159776,82080,448000,65331,0.63,5727,59561,1833637,41412286,833.58
19,705478,17546,160684,79248,448000,64781,0.63,5708,59043,1806268,41377543,827.6
20,704402,17590,160252,78560,448000,64898,0.62,5647,59206,1702513,41424243,827.14
21,708308,18300,158968,83040,448000,65092,0.63,5684,59384,1691523,41498601,827.89
22,708701,18053,159784,82864,448000,65004,0.63,5819,59160,1899177,41377985,833.46
23,712147,18467,158336,87344,448000,65040,0.63,6005,58993,1800654,41105003,835.3
24,706764,17868,160064,80832,448000,65013,0.62,5892,59082,1839583,41407145,831.65
25,710762,17970,161192,83600,448000,65277,0.62,5861,59391,1788621,41574607,828.97
26,708428,17980,160288,82160,448000,65151,0.62,6041,59075,1890995,41281643,833.84
27,703190,17334,161760,76096,448000,64719,0.62,5403,59284,1725217,41960369,821.73
28,706329,17681,161544,79104,448000,65057,0.63,5581,59441,1680967,41722655,825.57
29,711938,18750,160004,85184,448000,65416,0.63,5922,59455,2130589,41544334,838.79
30,697981,16553,164164,69264,448000,65093,0.62,5249,59801,1506705,42149719,816.69
