Period	Reward
1	-64
2	-64
3	-64
4	-64
5	-64
6	-64
7	-64
8	-64
9	-96
10	-96
11	-84
12	-84
13	-92
14	-92
15	-96
16	-92
17	-97
18	-169
19	-207
20	-96
21	-229
22	-120
23	-104
24	-80
25	-100
26	-76
27	-92
28	-87
29	-75
30	-105
31	-84
32	-92
33	-96
34	-104
35	-104
36	-96
37	-88
38	-88
39	-92
40	-84
41	-108
42	-110
43	-108
44	-88
45	-125
46	-98
47	-84
48	-106
49	-86
50	-100
51	-100
52	-80
53	-94
54	-96
55	-96
56	-100
57	-103
58	-101
59	-93
60	-87
61	-105
62	-127
63	-164
64	-90
65	-84
66	-132
67	-92
68	-88
69	-100
70	-96
71	-104
72	-108
73	-103
74	-100
75	-94
76	-80
77	-101
78	-84
79	-90
80	-86
81	-152
82	-135
83	-108
84	-142
85	-96
86	-86
87	-116
88	-106
89	-104
90	-80
91	-100
92	-84
93	-89
94	-84
95	-97
96	-82
97	-149
98	-121
99	-172
100	-76
101	-95
102	-93
103	-88
104	-72
105	-100
106	-100
107	-84
108	-88
109	-96
110	-96
111	-97
112	-103
113	-92
114	-92
115	-96
116	-72
117	-76
118	-88
119	-96
120	-118
121	-96
122	-88
123	-85
124	-85
125	-91
126	-104
127	-85
128	-100
129	-82
130	-92
131	-88
132	-104
133	-84
134	-100
135	-89
136	-102
137	-108
138	-89
139	-91
140	-79
141	-104
142	-84
143	-92
144	-201
145	-88
146	-88
147	-100
148	-100
149	-111
150	-88
151	-88
152	-101
153	-105
154	-95
155	-135
156	-96
157	-90
158	-93
159	-97
160	-89
161	-88
162	-88
163	-88
164	-100
165	-92
166	-92
167	-92
168	-96
169	-95
170	-68
171	-135
172	-93
173	-93
174	-96
175	-91
176	-115
177	-98
178	-107
179	-192
180	-104
181	-100
182	-88
183	-92
184	-104
185	-92
186	-100
187	-80
188	-83
189	-76
190	-106
191	-84
192	-89
193	-102
194	-84
195	-92
196	-116
197	-101
198	-103
199	-94
200	-115
201	-100
202	-80
203	-81
204	-117
205	-92
206	-91
207	-120
208	-101
209	-84
210	-88
211	-144
212	-80
213	-88
214	-94
215	-82
216	-214
217	-103
218	-84
219	-80
220	-93
221	-105
222	-85
223	-92
224	-84
225	-82
226	-104
227	-88
228	-88
229	-76
230	-92
231	-104
232	-100
233	-101
234	-79
235	-112
236	-80
237	-92
238	-80
239	-76
240	-86
241	-104
242	-104
243	-96
244	-96
245	-93
246	-147
247	-136
248	-96
249	-88
250	-100
251	-80
252	-89
253	-92
254	-88
255	-100
256	-92
257	-84
258	-77
259	-111
260	-189
261	-266
262	-108
263	-238
264	-197
265	-149
266	-112
267	-84
268	-108
269	-92
270	-84
271	-88
272	-93
273	-95
274	-100
275	-86
276	-108
277	-86
278	-107
279	-85
280	-94
281	-91
282	-81
283	-84
284	-110
285	-88
286	-104
287	-101
288	-103
289	-98
290	-92
291	-85
292	-92
293	-92
294	-83
295	-96
296	-84
297	-93
298	-98
299	-100
300	-96
301	-87
302	-104
303	-108
304	-81
305	-96
306	-88
307	-80
308	-88
309	-82
310	-92
311	-96
312	-113
313	-92
314	-96
315	-104
316	-96
317	-102
318	-92
319	-96
320	-84
321	-84
322	-96
323	-88
324	-91
325	-118
326	-100
327	-93
328	-92
329	-96
330	-101
331	-89
332	-108
333	-96
334	-93
335	-118
336	-116
337	-101
338	-88
339	-80
340	-101
341	-88
342	-100
343	-104
344	-112
345	-91
346	-84
347	-93
348	-85
349	-76
350	-90
351	-92
352	-174
353	-96
354	-100
355	-92
356	-88
357	-76
358	-96
359	-94
360	-88
361	-105
362	-104
363	-89
364	-129
365	-96
366	-84
367	-75
368	-145
369	-109
370	-198
371	-119
372	-128
373	-92
374	-92
375	-92
376	-102
377	-80
378	-84
379	-85
380	-88
381	-96
382	-92
383	-89
384	-92
385	-84
386	-96
387	-84
388	-94
389	-81
390	-125
391	-190
392	-102
393	-92
394	-96
395	-98
396	-77
397	-84
398	-92
399	-84
400	-92
401	-96
402	-88
403	-104
404	-102
405	-88
406	-93
407	-159
408	-99
409	-99
410	-100
411	-96
412	-97
413	-196
414	-244
415	-302
416	-281
417	-185
418	-162
419	-81
420	-76
421	-108
422	-88
423	-84
424	-92
425	-103
426	-94
427	-86
428	-108
429	-88
430	-97
431	-95
432	-88
433	-108
434	-108
435	-87
436	-123
437	-230
438	-77
439	-76
440	-92
441	-84
442	-88
443	-111
444	-78
445	-173
446	-168
447	-89
448	-88
449	-80
450	-88
451	-88
452	-92
453	-101
454	-92
455	-83
456	-96
457	-92
458	-104
459	-92
460	-86
461	-112
462	-94
463	-80
464	-97
465	-101
466	-98
467	-92
468	-80
469	-102
470	-93
471	-112
472	-96
473	-99
474	-76
475	-92
476	-104
477	-96
478	-95
479	-102
480	-202
481	-126
482	-145
483	-100
484	-96
485	-104
486	-124
487	-108
488	-80
489	-104
490	-84
491	-92
492	-99
493	-90
494	-100
495	-88
496	-100
497	-80
498	-83
499	-100
500	-84
501	-82
502	-176
503	-124
504	-74
505	-109
506	-100
507	-134
508	-92
509	-146
510	-96
511	-92
512	-86
513	-104
514	-96
515	-104
516	-88
517	-84
518	-82
519	-129
520	-104
521	-96
522	-84
523	-92
524	-92
525	-120
526	-92
527	-96
528	-104
529	-105
530	-88
531	-84
532	-100
533	-107
534	-85
535	-88
536	-93
537	-104
538	-72
539	-100
540	-135
541	-85
542	-153
543	-123
544	-235
545	-167
546	-76
547	-80
548	-102
549	-100
550	-88
551	-80
552	-88
553	-88
554	-92
555	-76
556	-84
557	-122
558	-83
559	-144
560	-89
561	-96
562	-80
563	-86
564	-101
565	-100
566	-88
567	-88
568	-100
569	-88
570	-100
571	-100
572	-90
573	-109
574	-88
575	-92
576	-96
577	-80
578	-85
579	-86
580	-92
581	-92
582	-92
583	-84
584	-100
585	-87
586	-84
587	-91
588	-112
589	-96
590	-97
591	-83
592	-90
593	-126
594	-98
595	-96
596	-88
597	-100
598	-85
599	-269
600	-168
601	-140
602	-141
603	-92
604	-108
605	-96
606	-96
607	-84
608	-108
609	-106
610	-80
611	-84
612	-105
613	-104
614	-92
615	-96
616	-88
617	-87
618	-78
619	-129
620	-89
621	-101
622	-93
623	-94
624	-93
625	-96
626	-85
627	-89
628	-92
629	-100
630	-80
631	-93
632	-88
633	-92
634	-136
635	-88
636	-93
637	-148
638	-88
639	-96
640	-102
641	-100
642	-96
643	-80
644	-93
645	-80
646	-88
647	-96
648	-92
649	-104
650	-136
651	-80
652	-100
653	-90
654	-112
655	-88
656	-88
657	-76
658	-96
659	-92
660	-100
661	-90
662	-81
663	-102
664	-164
665	-88
666	-92
667	-68
668	-102
669	-96
670	-97
671	-88
672	-92
673	-88
674	-106
675	-111
676	-88
677	-92
678	-82
679	-141
680	-131
681	-109
682	-84
683	-80
684	-92
685	-80
686	-105
687	-108
688	-68
689	-92
690	-98
691	-82
692	-186
693	-132
694	-76
695	-80
696	-89
697	-89
698	-77
699	-88
700	-104
701	-84
702	-104
703	-84
704	-80
705	-89
706	-96
707	-88
708	-84
709	-81
710	-133
711	-103
712	-80
713	-84
714	-96
715	-97
716	-86
717	-76
718	-88
719	-99
720	-112
721	-91
722	-90
723	-80
724	-105
725	-88
726	-84
727	-89
728	-92
729	-98
730	-89
731	-107
732	-97
733	-76
734	-88
735	-92
736	-101
737	-86
738	-92
739	-83
740	-109
741	-75
742	-168
743	-104
744	-131
745	-133
746	-101
747	-124
748	-107
749	-83
750	-121
751	-92
752	-92
753	-80
754	-88
755	-84
756	-104
757	-80
758	-85
759	-118
760	-81
761	-219
762	-183
763	-127
764	-125
765	-188
766	-202
767	-201
768	-93
769	-148
770	-102
771	-104
772	-96
773	-98
774	-92
775	-92
776	-101
777	-92
778	-79
779	-88
780	-100
781	-91
782	-80
783	-96
784	-104
785	-93
786	-89
787	-100
788	-84
789	-92
790	-86
791	-128
792	-76
793	-108
794	-104
795	-92
796	-89
797	-84
798	-100
799	-92
800	-72
801	-88
802	-92
803	-80
804	-108
805	-87
806	-104
807	-120
808	-100
809	-92
810	-104
811	-88
812	-78
813	-117
814	-92
815	-93
816	-84
817	-100
818	-84
819	-100
820	-97
821	-184
822	-171
823	-186
824	-120
825	-164
826	-96
827	-104
828	-95
829	-104
830	-100
831	-92
832	-93
833	-148
834	-96
835	-104
836	-85
837	-96
838	-72
839	-96
840	-92
841	-92
842	-85
843	-95
844	-88
845	-87
846	-118
847	-111
848	-154
849	-89
850	-89
851	-88
852	-92
853	-96
854	-88
855	-76
856	-100
857	-94
858	-102
859	-104
860	-101
861	-84
862	-84
863	-91
864	-95
865	-92
866	-80
867	-92
868	-92
869	-97
870	-88
871	-88
872	-92
873	-95
874	-96
875	-104
876	-92
877	-118
878	-133
879	-97
880	-88
881	-92
882	-92
883	-76
884	-84
885	-103
886	-89
887	-88
888	-83
889	-96
890	-88
891	-77
892	-98
893	-126
894	-84
895	-88
896	-100
897	-93
898	-92
899	-106
900	-104
901	-84
902	-84
903	-96
904	-92
905	-85
906	-131
907	-188
908	-157
909	-222
910	-160
911	-190
912	-134
913	-145
914	-129
915	-109
916	-95
917	-112
918	-89
919	-92
920	-108
921	-76
922	-97
923	-96
924	-100
925	-80
926	-94
927	-90
928	-90
929	-108
930	-89
931	-92
932	-92
933	-80
934	-139
935	-112
936	-126
937	-84
938	-96
939	-88
940	-100
941	-93
942	-84
943	-96
944	-100
945	-98
946	-112
947	-84
948	-80
949	-96
950	-83
951	-88
952	-96
953	-96
954	-88
955	-77
956	-111
957	-92
958	-91
959	-115
960	-91
961	-112
962	-89
963	-83
964	-104
965	-99
966	-92
967	-100
968	-103
969	-104
970	-100
971	-88
972	-96
973	-100
974	-92
975	-94
976	-94
977	-120
978	-116
979	-198
980	-128
981	-123
982	-233
983	-165
984	-86
985	-82
986	-135
987	-92
988	-84
989	-104
990	-88
991	-84
992	-72
993	-109
994	-80
995	-84
996	-88
997	-100
998	-93
999	-105
1000	-100
1001	-88
1002	-95
1003	-113
1004	-89
1005	-92
1006	-90
1007	-93
1008	-101
1009	-97
1010	-130
1011	-100
1012	-100
1013	-108
1014	-96
1015	-84
1016	-92
1017	-80
1018	-96
1019	-132
1020	-92
1021	-97
1022	-80
1023	-88
1024	-92
1025	-84
1026	-98
1027	-102
1028	-84
1029	-89
1030	-109
1031	-83
1032	-116
1033	-89
1034	-112
1035	-100
1036	-80
1037	-84
1038	-96
1039	-100
1040	-93
1041	-104
1042	-95
1043	-96
1044	-84
1045	-102
1046	-92
1047	-85
1048	-86
1049	-104
1050	-80
1051	-80
1052	-101
1053	-86
1054	-96
1055	-100
1056	-115
1057	-82
1058	-102
1059	-94
1060	-83
1061	-119
1062	-76
1063	-98
1064	-120
1065	-96
1066	-94
1067	-83
1068	-287
1069	-191
1070	-224
1071	-192
1072	-116
1073	-94
1074	-88
1075	-84
1076	-102
1077	-76
1078	-85
1079	-84
1080	-96
1081	-92
1082	-92
1083	-92
1084	-83
1085	-169
1086	-176
1087	-170
1088	-100
1089	-100
1090	-98
1091	-85
1092	-104
1093	-84
1094	-84
1095	-92
1096	-96
1097	-88
1098	-96
1099	-72
1100	-76
1101	-92
1102	-92
1103	-92
1104	-89
1105	-81
1106	-94
1107	-112
1108	-85
1109	-271
1110	-216
1111	-187
1112	-112
1113	-91
1114	-127
1115	-110
1116	-88
1117	-84
1118	-96
1119	-92
1120	-96
1121	-100
1122	-106
1123	-80
1124	-98
1125	-92
1126	-96
1127	-101
1128	-96
1129	-102
1130	-101
1131	-104
1132	-97
1133	-101
1134	-92
1135	-92
1136	-101
1137	-102
1138	-84
1139	-84
1140	-88
1141	-84
1142	-104
1143	-108
1144	-94
1145	-98
1146	-104
1147	-94
1148	-111
1149	-85
1150	-81
1151	-110
1152	-96
1153	-92
1154	-87
1155	-109
1156	-92
1157	-84
1158	-106
1159	-204
1160	-198
1161	-99
1162	-98
1163	-104
1164	-100
1165	-90
1166	-92
1167	-92
1168	-99
1169	-77
1170	-108
1171	-101
1172	-100
1173	-109
1174	-87
1175	-92
1176	-92
1177	-96
1178	-100
1179	-104
1180	-99
1181	-76
1182	-96
1183	-72
1184	-98
1185	-91
1186	-76
1187	-93
1188	-84
1189	-168
1190	-151
1191	-145
1192	-125
1193	-88
1194	-101
1195	-94
1196	-105
1197	-128
1198	-93
1199	-86
1200	-108
1201	-88
1202	-76
1203	-88
1204	-76
1205	-101
1206	-101
1207	-96
1208	-92
1209	-88
1210	-98
1211	-94
1212	-84
1213	-100
1214	-110
1215	-89
1216	-100
1217	-140
1218	-174
1219	-156
1220	-104
1221	-79
1222	-128
1223	-95
1224	-80
1225	-97
1226	-97
1227	-97
1228	-100
1229	-92
1230	-88
1231	-100
1232	-76
1233	-84
1234	-94
1235	-97
1236	-96
1237	-103
1238	-93
1239	-84
1240	-92
1241	-76
1242	-96
1243	-96
1244	-96
1245	-123
1246	-123
1247	-144
1248	-96
1249	-103
1250	-88
1251	-92
1252	-96
1253	-100
1254	-98
1255	-94
1256	-84
1257	-104
1258	-76
1259	-96
1260	-97
1261	-88
1262	-94
1263	-110
1264	-85
1265	-86
1266	-104
1267	-80
1268	-92
1269	-87
1270	-153
1271	-180
1272	-121
1273	-180
1274	-84
1275	-93
1276	-88
1277	-80
1278	-97
1279	-97
1280	-84
1281	-88
1282	-88
1283	-96
1284	-100
1285	-80
1286	-92
1287	-92
1288	-103
1289	-114
1290	-84
1291	-101
1292	-78
1293	-176
1294	-140
1295	-84
1296	-84
1297	-80
1298	-88
1299	-92
1300	-80
1301	-104
1302	-124
1303	-154
1304	-92
1305	-79
1306	-100
1307	-80
1308	-112
1309	-92
1310	-95
1311	-96
1312	-92
1313	-87
1314	-118
1315	-80
1316	-112
1317	-99
1318	-84
1319	-97
1320	-82
1321	-84
1322	-105
1323	-98
1324	-80
1325	-96
1326	-96
1327	-88
1328	-84
1329	-88
1330	-77
1331	-116
1332	-106
1333	-113
1334	-92
1335	-83
1336	-91
1337	-101
1338	-109
1339	-95
1340	-84
1341	-104
1342	-87
1343	-121
1344	-80
1345	-96
1346	-100
1347	-80
1348	-100
1349	-100
1350	-105
1351	-110
1352	-84
1353	-92
1354	-81
1355	-148
1356	-112
1357	-112
1358	-86
1359	-84
1360	-101
1361	-104
1362	-100
1363	-109
1364	-84
1365	-88
1366	-96
1367	-80
1368	-100
1369	-64
1370	-88
1371	-88
1372	-100
1373	-88
1374	-87
1375	-101
1376	-82
1377	-92
1378	-106
1379	-88
1380	-80
1381	-96
1382	-100
1383	-96
1384	-98
1385	-85
1386	-114
1387	-90
1388	-84
1389	-96
1390	-96
1391	-92
1392	-96
1393	-90
1394	-133
1395	-161
1396	-90
1397	-96
1398	-92
1399	-92
1400	-102
1401	-79
1402	-96
1403	-88
1404	-90
1405	-96
1406	-92
1407	-98
1408	-96
1409	-84
1410	-104
1411	-84
1412	-96
1413	-80
1414	-92
1415	-84
1416	-97
1417	-96
1418	-83
1419	-97
1420	-113
1421	-76
1422	-100
1423	-88
1424	-84
1425	-80
1426	-98
1427	-88
1428	-96
1429	-97
1430	-92
1431	-104
1432	-98
1433	-168
1434	-88
1435	-97
1436	-100
1437	-80
1438	-88
1439	-100
1440	-84
1441	-119
1442	-132
1443	-80
1444	-76
1445	-92
1446	-91
1447	-101
1448	-102
1449	-80
1450	-96
1451	-92
1452	-100
1453	-91
1454	-200
1455	-128
1456	-263
1457	-140
1458	-119
1459	-108
1460	-92
1461	-100
1462	-84
1463	-96
1464	-100
1465	-104
1466	-98
1467	-116
1468	-172
1469	-121
1470	-105
1471	-89
1472	-88
1473	-72
1474	-80
1475	-84
1476	-113
1477	-293
1478	-96
1479	-97
1480	-95
1481	-100
1482	-125
1483	-88
1484	-80
1485	-104
1486	-80
1487	-93
1488	-101
1489	-91
1490	-100
1491	-104
1492	-88
1493	-100
1494	-80
1495	-80
1496	-84
1497	-80
1498	-88
1499	-84
1500	-92
1501	-92
1502	-104
1503	-80
1504	-100
1505	-84
1506	-95
1507	-93
1508	-221
1509	-213
1510	-88
1511	-89
1512	-96
1513	-88
1514	-80
1515	-80
1516	-85
1517	-92
1518	-91
1519	-96
1520	-84
1521	-93
1522	-96
1523	-84
1524	-81
1525	-97
1526	-88
1527	-106
1528	-89
1529	-105
1530	-100
1531	-88
1532	-94
1533	-104
1534	-104
1535	-72
1536	-90
1537	-98
1538	-92
1539	-105
1540	-119
1541	-95
1542	-100
1543	-77
1544	-129
1545	-117
1546	-185
1547	-160
1548	-93
1549	-76
1550	-94
1551	-82
1552	-157
1553	-131
1554	-104
1555	-92
1556	-91
1557	-96
1558	-96
1559	-85
1560	-88
1561	-153
1562	-88
1563	-100
1564	-104
1565	-88
1566	-88
1567	-92
1568	-104
1569	-92
1570	-84
1571	-92
1572	-96
1573	-91
1574	-92
1575	-121
1576	-100
1577	-88
1578	-108
1579	-88
1580	-80
1581	-80
1582	-96
1583	-94
1584	-103
1585	-162
1586	-98
1587	-87
1588	-79
1589	-148
1590	-84
1591	-88
1592	-76
1593	-90
1594	-74
1595	-88
1596	-89
1597	-108
1598	-92
1599	-96
1600	-100
1601	-102
1602	-88
1603	-92
1604	-93
1605	-101
1606	-84
1607	-95
1608	-129
1609	-73
1610	-133
1611	-140
1612	-96
1613	-89
1614	-84
1615	-93
1616	-88
1617	-99
1618	-92
1619	-91
1620	-79
1621	-154
1622	-151
1623	-128
1624	-108
1625	-87
1626	-100
1627	-85
1628	-124
1629	-96
1630	-83
1631	-85
1632	-136
1633	-95
1634	-104
1635	-88
1636	-95
1637	-81
1638	-95
1639	-101
1640	-76
1641	-80
1642	-88
1643	-96
1644	-88
1645	-98
1646	-119
1647	-143
1648	-268
1649	-115
1650	-314
1651	-144
1652	-92
1653	-88
1654	-88
1655	-89
1656	-100
1657	-96
1658	-84
1659	-79
1660	-144
1661	-92
1662	-100
1663	-92
1664	-111
1665	-151
1666	-157
1667	-96
1668	-106
1669	-109
1670	-92
1671	-86
1672	-84
1673	-100
1674	-88
1675	-100
1676	-105
1677	-84
1678	-100
1679	-104
1680	-84
1681	-92
1682	-80
1683	-97
1684	-76
1685	-84
1686	-96
1687	-91
1688	-140
1689	-100
1690	-116
1691	-101
1692	-86
1693	-88
1694	-81
1695	-84
1696	-87
1697	-92
1698	-98
1699	-133
1700	-191
1701	-112
1702	-100
1703	-104
1704	-84
1705	-101
1706	-82
1707	-88
1708	-84
1709	-92
1710	-80
1711	-96
1712	-114
1713	-106
1714	-89
1715	-88
1716	-88
1717	-98
1718	-87
1719	-89
1720	-100
1721	-96
1722	-80
1723	-92
1724	-92
1725	-96
1726	-93
1727	-96
1728	-78
1729	-170
1730	-188
1731	-96
1732	-95
1733	-91
1734	-116
1735	-100
1736	-96
1737	-92
1738	-88
1739	-132
1740	-84
1741	-92
1742	-92
1743	-100
1744	-88
1745	-96
1746	-88
1747	-104
1748	-98
1749	-104
1750	-92
1751	-91
1752	-73
1753	-122
1754	-92
1755	-84
1756	-97
1757	-84
1758	-96
1759	-106
1760	-84
1761	-84
1762	-92
1763	-88
1764	-100
1765	-88
1766	-96
1767	-104
1768	-80
1769	-86
1770	-105
1771	-84
1772	-92
1773	-111
1774	-80
1775	-85
1776	-88
1777	-104
1778	-92
1779	-80
1780	-91
1781	-114
1782	-89
1783	-101
1784	-103
1785	-84
1786	-141
1787	-125
1788	-161
