Episode,total_cost,wip_cost,fgi_cost,lateness_cost,overtime_cost,amount_of_shipped_orders,bottleneck_utilization,late_orders,early_orders,sum_of_lateness,sum_of_tardiness,average_flow_time
1,544955,27267,131976,160560,225152,65070,0.75,11258,53778,4659279,34588485,980.73
2,557886,29470,125888,177920,224608,64944,0.76,12573,52326,5710152,33400599,1016.2
3,546052,27692,129800,161232,227328,65052,0.75,11493,53517,4732906,34126808,988.91
4,570099,31147,122840,191696,224416,65417,0.76,13219,52146,5844467,32841053,1026.24
5,554482,29174,127436,174544,223328,64863,0.76,12145,52660,5496405,33724615,1004.56
6,559108,29884,125176,180976,223072,65304,0.76,12782,52476,5487704,33256544,1016.02
7,550909,28857,128132,169888,224032,64958,0.75,12210,52708,5626352,33659035,1007.51
8,547429,27693,129064,164496,226176,64408,0.75,12198,52169,5393990,33559850,1003.98
9,561321,30933,124660,184608,221120,65371,0.76,13046,52278,6445357,32978218,1034.64
10,548590,28294,129992,164480,225824,65050,0.76,11978,53031,5362913,33655968,1003.96
11,553810,28698,128872,171888,224352,65249,0.76,12282,52903,5268745,33790721,1002.97
12,551405,29101,126288,174672,221344,65065,0.76,12508,52504,5310081,33274390,1012.13
13,559289,29425,127384,176304,226176,65187,0.75,12441,52711,5628330,33703771,1011.99
14,551937,28673,127792,170032,225440,64675,0.75,12032,52596,5460434,33742003,1003.99
15,554103,28471,127920,170768,226944,64736,0.75,12076,52615,5213122,33716428,1001.47
16,560417,30469,124588,180528,224832,65484,0.76,12564,52877,5642959,33112594,1020.98
17,551010,28274,128416,167728,226592,65037,0.75,12064,52921,5319346,33705808,1002.15
18,566691,31395,124016,188688,222592,65302,0.77,13355,51900,6878458,32666174,1046.42
19,548316,29236,125240,174160,219680,64721,0.76,12609,52067,5744600,33029620,1018.1
20,558262,29354,127500,176896,224512,65101,0.75,12341,52705,5507248,33548996,1009.11
21,544036,27348,130128,156352,230208,64967,0.75,11146,53763,4381306,34269535,980.58
22,553679,29691,126884,175504,221600,64895,0.76,12783,52064,6383894,33082934,1026.87
23,568128,30864,124528,188032,224704,65370,0.76,13379,51941,6271541,32935828,1033.66
24,559360,29908,124540,180208,224704,65222,0.76,12795,52363,5374081,32858735,1019.25
25,563828,30048,127252,179456,227072,65648,0.76,12789,52795,5918236,33461774,1020.2
26,557056,29420,127076,177232,223328,64804,0.76,12549,52203,5955278,33526686,1014.39
27,546150,28318,129960,162720,225152,65364,0.76,12073,53240,5416490,33679219,1007.15
28,548179,28359,129276,165392,225152,65015,0.76,11725,53232,5184600,33931327,997.62
29,547175,28967,129184,167872,221152,65273,0.76,12094,53132,6003203,33983767,1012.62
30,551646,29182,127248,171536,223680,64797,0.76,12388,52356,5910740,33413674,1016.16
