Episode,total_cost,wip_cost,fgi_cost,lateness_cost,overtime_cost,amount_of_shipped_orders,bottleneck_utilization,late_orders,early_orders,sum_of_lateness,sum_of_tardiness,average_flow_time
1,456786,33742,320180,13712,89152,64987,0.84,1007,63970,357265,86008763,1081.98
2,459203,34855,320908,13488,89952,65605,0.85,1039,64562,306826,85848471,1096.73
3,454598,34150,319488,13632,87328,65009,0.84,978,64027,307665,86286210,1079.82
4,450353,31741,326340,8624,83648,64673,0.84,637,64031,185294,87198914,1054.67
5,453521,33721,320584,13840,85376,64999,0.84,937,64059,294672,86051391,1078.95
6,454414,34302,319424,13200,87488,64953,0.84,886,64063,244082,86210726,1078.53
7,458202,34682,319936,15168,88416,65213,0.84,1094,64111,394012,85615044,1093.5
8,452539,32039,324996,10384,85120,64808,0.84,765,64040,225987,87178933,1058.78
9,460251,35047,318740,17088,89376,65268,0.84,1229,64033,429263,85793941,1093.17
10,452135,33451,322572,11088,85024,65047,0.85,795,64249,247361,86519084,1074.74
11,462769,34393,321048,15424,91904,65361,0.85,1143,64210,355863,85757940,1092.67
12,452401,32677,324604,10704,84416,64912,0.85,708,64199,174485,87119893,1061.05
13,456161,34109,322340,11104,88608,65358,0.85,843,64506,230954,86354686,1083.2
14,453261,32929,325196,10848,84288,65068,0.84,805,64258,228193,86922053,1068.18
15,455072,33580,321140,11520,88832,64917,0.84,864,64048,249991,86008551,1079.63
16,449626,32666,323760,9840,83360,64863,0.84,725,64131,197812,86983213,1063.47
17,456334,34154,319316,14480,88384,64903,0.84,1010,63890,336514,85749764,1085.3
18,455557,34009,320748,14656,86144,65155,0.84,1032,64114,290869,86462933,1080.08
19,455930,33438,322860,13392,86240,65000,0.84,887,64104,243032,86473976,1074.0
20,454340,33356,322488,11744,86752,64934,0.84,796,64130,235569,86562357,1071.0
21,447692,31792,325692,8416,81792,64473,0.84,600,63869,153733,87151953,1051.18
22,455258,34566,320148,12736,87808,65301,0.85,855,64438,241780,86106400,1086.5
23,447631,31431,327080,9504,79616,64617,0.83,662,63953,180158,87448758,1049.63
24,453585,33961,321704,12928,84992,65146,0.84,967,64171,292809,86385976,1079.99
25,455305,33149,325020,9808,87328,65131,0.85,732,64395,186250,86732739,1070.49
26,459257,34421,321364,14896,88576,65338,0.84,1086,64246,281788,86183614,1085.92
27,453510,34238,320696,14448,84128,65153,0.84,1009,64142,289898,86061116,1082.3
28,455260,33528,321844,12080,87808,65055,0.84,954,64097,312391,85866491,1084.73
29,452573,32697,323988,12944,82944,64751,0.84,881,63862,269491,86689457,1065.69
30,451541,32813,324184,11376,83168,64922,0.84,813,64100,216256,86804894,1067.3
