Episode,total_cost,wip_cost,fgi_cost,lateness_cost,overtime_cost,amount_of_shipped_orders,bottleneck_utilization,late_orders,early_orders,sum_of_lateness,sum_of_tardiness,average_flow_time
1,616640,107400,170664,338576,0,65260,0.93,23342,41894,37059290,46709390,2251.91
2,577969,98973,170948,308048,0,65262,0.94,22508,42728,32118489,45879797,2190.59
3,527972,83660,191720,252592,0,64855,0.93,18427,46402,22285235,51238132,1954.88
4,566966,92938,176668,297360,0,64965,0.93,21385,43547,27830317,47333507,2100.73
5,619656,115496,162288,341872,0,65253,0.94,24201,41035,50477401,44409634,2493.81
6,645584,119280,153072,373232,0,65461,0.94,26307,39141,45647797,41732697,2462.21
7,578647,98291,173252,307104,0,65044,0.93,21885,43142,30942823,46522131,2159.07
8,565244,97120,183388,284736,0,65181,0.93,21848,43301,35698840,47552041,2217.71
9,545139,86575,185748,272816,0,64455,0.92,18532,45910,21324357,51080026,1939.62
10,652160,120496,153072,378592,0,65160,0.94,26336,38805,48030459,42442201,2484.26
11,635316,119488,156692,359136,0,65034,0.94,25191,39821,46955101,42919001,2463.74
12,558818,89954,183712,285152,0,64796,0.93,21264,43499,26962513,48500404,2067.0
13,632751,120547,162764,349440,0,64619,0.94,25057,39546,50759079,43366609,2514.31
14,611278,113214,168176,329888,0,65112,0.93,22980,42108,43016218,45859908,2355.7
15,556614,93782,189344,273488,0,64240,0.92,19648,44570,32731322,50698235,2120.46
16,571667,97395,179024,295248,0,65061,0.93,21440,43591,30891905,47635774,2141.87
17,572834,94558,182804,295472,0,64882,0.93,20726,44132,28732291,49684617,2078.18
18,612293,112985,171436,327872,0,65126,0.93,23330,41762,43905570,45951805,2368.68
19,580206,97810,176444,305952,0,65099,0.94,22858,42218,36257153,46416395,2243.24
20,638516,116552,153084,368880,0,65169,0.94,25488,39662,42160734,42747272,2392.11
21,607266,107062,165724,334480,0,64874,0.94,23098,41749,36590593,45415769,2261.97
22,586761,98433,171624,316704,0,64948,0.93,21165,43752,28327651,48183156,2095.13
23,549906,88358,189036,272512,0,64914,0.93,19434,45455,24924299,50975248,1999.43
24,603736,102448,173592,327696,0,65017,0.93,22654,42340,34219233,47477983,2195.65
25,607339,105967,162012,339360,0,65234,0.94,23125,42077,33596416,45166309,2223.24
26,590247,103899,173708,312640,0,64924,0.93,21165,43731,34733576,48478624,2187.44
27,555848,88564,182500,284784,0,65293,0.93,21182,44091,24299532,48008873,2037.92
28,565502,97574,177816,290112,0,65145,0.93,22059,43056,35006094,46756568,2218.54
29,544911,89047,185592,270272,0,64941,0.92,19140,45765,23756868,50559206,1988.52
30,557003,93571,187192,276240,0,64919,0.92,19127,45763,29053702,50867545,2064.24
