Episode,total_cost,wip_cost,fgi_cost,lateness_cost,overtime_cost,amount_of_shipped_orders,bottleneck_utilization,late_orders,early_orders,sum_of_lateness,sum_of_tardiness,average_flow_time
1,614847,29427,339148,19584,226688,64867,0.75,1357,63495,488937,90873974,1006.8
2,613287,29051,340124,21424,222688,64934,0.76,1410,63515,531268,90833360,1008.24
3,615268,28516,344528,17008,225216,65214,0.75,1157,64054,454657,91773017,1001.22
4,612714,29678,339180,21072,222784,65031,0.76,1469,63555,647080,90823208,1014.25
5,615147,30467,337752,20880,226048,65506,0.76,1509,63995,555862,90471670,1026.24
6,612241,29469,341956,15792,225024,65607,0.76,1324,64273,566284,90854312,1024.17
7,611981,29097,341348,17312,224224,65222,0.76,1179,64037,377183,91413719,1005.96
8,607098,28590,340092,16688,221728,64754,0.75,1144,63608,384767,91028577,1001.01
9,609816,29928,339024,18656,222208,65288,0.76,1348,63927,500939,90745980,1017.75
10,608414,26902,345608,12352,223552,64552,0.75,837,63711,268607,92408460,974.11
11,613880,28968,340224,19504,225184,65025,0.76,1380,63636,489471,90725836,1011.63
12,617895,28807,342592,17184,229312,65113,0.76,1420,63689,600197,90945159,1013.19
13,611773,27833,345092,16224,222624,64975,0.76,1132,63836,421212,91949322,991.37
14,613645,30441,335636,26352,221216,64771,0.76,1680,63087,800675,90205564,1020.36
15,613295,29335,339784,21616,222560,65074,0.76,1795,63275,867886,90428658,1027.24
16,618246,30142,337528,28592,221984,64960,0.76,2019,62930,948961,90090078,1027.35
17,614137,31053,335100,23952,224032,65406,0.76,1834,63564,688570,89042120,1049.6
18,615267,29239,339852,20480,225696,65087,0.76,1412,63667,492395,91116204,1009.45
19,613842,29770,338552,22768,222752,64997,0.76,1567,63427,601536,90046452,1025.22
20,613025,28765,342276,17024,224960,65072,0.76,1337,63729,650176,91215584,1009.42
21,616116,29008,339236,20320,227552,64795,0.75,1358,63430,584258,90994563,1005.65
22,613715,28383,342676,18720,223936,64841,0.75,1308,63525,579222,91517051,999.22
23,610652,27032,347444,13936,222240,64836,0.75,1019,63809,439673,92706922,978.05
24,615590,28546,344308,17040,225696,65095,0.75,1241,63848,406782,91671939,998.87
25,615285,29453,341416,21120,223296,65244,0.76,1503,63736,618359,90932277,1015.65
26,621026,29598,341428,27568,222432,65158,0.76,1893,63259,979995,91105554,1017.18
27,620416,30072,339336,26496,224512,65184,0.75,1744,63437,751451,90660842,1021.12
28,611510,28794,342492,17568,222656,65141,0.76,1477,63660,661305,90997144,1012.71
29,615195,30219,338176,22512,224288,65334,0.76,1580,63747,666149,90579697,1025.09
30,615083,29103,338140,19424,228416,64809,0.75,1360,63442,454446,90596529,1011.85
